registration_number,ngo_name,registration_type,state,city,registered_year,focus_area,website,director_name,beneficiaries_estimate,funding_summary,contact_email,contact_phone,address,annual_report_url,source_links,notes
387940931,Asha Association 115,FCRA,Uttarakhand,Nainital,1997,Animal Welfare,https://www.ashaassociation115.org,Ahana  Sood,"1.54M (approx., 2020)","FY2022: Total ~ INR 3,610,000; Grants INR 400,000; Donations INR 2,610,000; Govt INR 600,000",contact115@asha.association.115.org,8924991251,"62, Nainital Main Road, Near Market, Uttarakhand",https://www.ashaassociation115.org/annual-report.pdf,https://www.ashaassociation115.org|https://example-simulated-source.org/115,Sample data - synthetic
TR/2001/73733,Jeevan Sanstha 116,Trust,Himachal Pradesh,Mandi,2021,Rural Development,https://www.jeevansanstha116.org,Pari Kamdar,"1.15M (approx., 2019)","FY2023: Total ~ INR 6,930,000; Grants INR 1,200,000; Donations INR 4,930,000; Govt INR 800,000",contact116@jeevan.sanstha.116.org,7742257905,"244, Mandi Main Road, Near Community Centre, Himachal Pradesh",https://www.jeevansanstha116.org/annual-report.pdf,https://www.jeevansanstha116.org|https://example-simulated-source.org/116,Funding estimated for demo
98766909,Jeevan Organisation 117,FCRA,Punjab,Jalandhar,2021,Rural Development,https://www.jeevanorganisation117.org,Kavya Saha,"4.61M (approx., 2022)","FY2021: Total ~ INR 3,330,000; Grants INR 300,000; Donations INR 2,930,000; Govt INR 100,000",contact117@jeevan.organisation.117.org,9034043842,"200, Jalandhar Main Road, Near School, Punjab",https://www.jeevanorganisation117.org/annual-report.pdf,https://www.jeevanorganisation117.org|https://example-simulated-source.org/117,Simulated beneficiary numbers
119968815,Samarth Initiative 118,FCRA,Chhattisgarh,Raipur,2003,Elderly Care,https://www.samarthinitiative118.org,Priyansh Raman,"4.93M (approx., 2023)","FY2024: Total ~ INR 6,400,000; Grants INR 1,100,000; Donations INR 4,400,000; Govt INR 900,000",contact118@samarth.initiative.118.org,9340745171,"199, Raipur Main Road, Near Railway Station, Chhattisgarh",https://www.samarthinitiative118.org/annual-report.pdf,https://www.samarthinitiative118.org|https://example-simulated-source.org/118,Funding estimated for demo
TR/2012/70767,Samarth Foundation 119,Trust,Gujarat,Bhavnagar,1998,Women Empowerment,https://www.samarthfoundation119.org,Shayak Mani,"3.45M (approx., 2018)","FY2020: Total ~ INR 6,230,000; Grants INR 800,000; Donations INR 4,430,000; Govt INR 1,000,000",contact119@samarth.foundation.119.org,8982544948,"231, Bhavnagar Main Road, Near Community Centre, Gujarat",https://www.samarthfoundation119.org/annual-report.pdf,https://www.samarthfoundation119.org|https://example-simulated-source.org/119,Sample data - synthetic
U74154MA2004NPL76684,Prerna Initiative 120,Section-8 Company,Madhya Pradesh,Indore,2019,Human Rights,https://www.prernainitiative120.org,Taran Chauhan,"4.09M (approx., 2020)","FY2024: Total ~ INR 1,910,000; Grants INR 1,800,000; Donations INR 10,000; Govt INR 100,000",contact120@prerna.initiative.120.org,9466711684,"178, Indore Main Road, Near Market, Madhya Pradesh",https://www.prernainitiative120.org/annual-report.pdf,https://www.prernainitiative120.org|https://example-simulated-source.org/120,Funding estimated for demo
U62129GO2006NPL57314,Pragati Sanstha 121,Section-8 Company,Goa,Vasco da Gama,2011,Human Rights,https://www.pragatisanstha121.org,Hunar Goda,"4.06Lakh (approx., 2018)","FY2019: Total ~ INR 4,200,000; Grants INR 300,000; Donations INR 3,200,000; Govt INR 700,000",contact121@pragati.sanstha.121.org,7745458929,"219, Vasco da Gama Main Road, Near School, Goa",https://www.pragatisanstha121.org/annual-report.pdf,https://www.pragatisanstha121.org|https://example-simulated-source.org/121,
227237515,Sankalp Initiative 122,FCRA,Mizoram,Aizawl,1993,Urban Poor,https://www.sankalpinitiative122.org,Hrishita Gera,"3.32M (approx., 2023)","FY2022: Total ~ INR 4,910,000; Grants INR 900,000; Donations INR 3,710,000; Govt INR 300,000",contact122@sankalp.initiative.122.org,9242415415,"171, Aizawl Main Road, Near Railway Station, Mizoram",https://www.sankalpinitiative122.org/annual-report.pdf,https://www.sankalpinitiative122.org|https://example-simulated-source.org/122,
TR/1998/78814,Jeevan Trust 123,Trust,Nagaland,Kohima,2014,Education,https://www.jeevantrust123.org,Ayesha Bhargava,"7.49Lakh (approx., 2023)","FY2021: Total ~ INR 1,320,000; Grants INR 300,000; Donations INR 520,000; Govt INR 500,000",contact123@jeevan.trust.123.org,7870051627,"19, Kohima Main Road, Near Railway Station, Nagaland",https://www.jeevantrust123.org/annual-report.pdf,https://www.jeevantrust123.org|https://example-simulated-source.org/123,Simulated beneficiary numbers
TR/2023/74831,Sakhi Trust 124,Trust,West Bengal,Siliguri,1995,Elderly Care,https://www.sakhitrust124.org,Nayantara Bhattacharyya,"8.43Lakh (approx., 2019)","FY2021: Total ~ INR 3,910,000; Grants INR 300,000; Donations INR 3,010,000; Govt INR 600,000",contact124@sakhi.trust.124.org,7927532697,"221, Siliguri Main Road, Near Railway Station, West Bengal",https://www.sakhitrust124.org/annual-report.pdf,https://www.sakhitrust124.org|https://example-simulated-source.org/124,Funding estimated for demo
U82534TE2019NPL79644,Pragati Samiti 125,Section-8 Company,Telangana,Warangal,2008,Environment,https://www.pragatisamiti125.org,Bhamini Jain,"4.58Lakh (approx., 2024)","FY2019: Total ~ INR 3,830,000; Grants INR 700,000; Donations INR 2,530,000; Govt INR 600,000",contact125@pragati.samiti.125.org,9940438983,"192, Warangal Main Road, Near School, Telangana",https://www.pragatisamiti125.org/annual-report.pdf,https://www.pragatisamiti125.org|https://example-simulated-source.org/125,Sample data - synthetic
AS/2020/148394,Sankalp Association 126,NITI Aayog (Darpan),Assam,Nagaon,2006,Healthcare,https://www.sankalpassociation126.org,Shaan Vaidya,"1.81M (approx., 2018)","FY2023: Total ~ INR 5,550,000; Grants INR 100,000; Donations INR 4,850,000; Govt INR 600,000",contact126@sankalp.association.126.org,8965827109,"18, Nagaon Main Road, Near Community Centre, Assam",https://www.sankalpassociation126.org/annual-report.pdf,https://www.sankalpassociation126.org|https://example-simulated-source.org/126,Simulated beneficiary numbers
98506190,Navjeevan Initiative 127,FCRA,Goa,Vasco da Gama,1999,Disability Services,https://www.navjeevaninitiative127.org,Nitara Dubey,"4.5M (approx., 2020)","FY2024: Total ~ INR 5,200,000; Grants INR 1,200,000; Donations INR 3,000,000; Govt INR 1,000,000",contact127@navjeevan.initiative.127.org,9889241418,"236, Vasco da Gama Main Road, Near Railway Station, Goa",https://www.navjeevaninitiative127.org/annual-report.pdf,https://www.navjeevaninitiative127.org|https://example-simulated-source.org/127,
TR/1995/57948,Seva Samiti 128,Trust,Andhra Pradesh,Tirupati,2000,Human Rights,https://www.sevasamiti128.org,Nitya Dugar,"4.16M (approx., 2020)","FY2020: Total ~ INR 4,640,000; Grants INR 1,600,000; Donations INR 2,640,000; Govt INR 400,000",contact128@seva.samiti.128.org,7799042102,"180, Tirupati Main Road, Near Community Centre, Andhra Pradesh",https://www.sevasamiti128.org/annual-report.pdf,https://www.sevasamiti128.org|https://example-simulated-source.org/128,Simulated beneficiary numbers
S/57272/WE,Sankalp Association 129,Society,West Bengal,Durgapur,2000,Human Rights,https://www.sankalpassociation129.org,Bhavin Shenoy,"3.08M (approx., 2019)","FY2023: Total ~ INR 4,850,000; Grants INR 800,000; Donations INR 3,950,000; Govt INR 100,000",contact129@sankalp.association.129.org,8814917785,"15, Durgapur Main Road, Near School, West Bengal",https://www.sankalpassociation129.org/annual-report.pdf,https://www.sankalpassociation129.org|https://example-simulated-source.org/129,
S/7026/MA,Sankalp Samiti 130,Society,Madhya Pradesh,Ujjain,2010,Education,https://www.sankalpsamiti130.org,Samaira Bhavsar,"2.28M (approx., 2024)","FY2019: Total ~ INR 3,620,000; Grants INR 200,000; Donations INR 2,920,000; Govt INR 500,000",contact130@sankalp.samiti.130.org,8562208635,"64, Ujjain Main Road, Near School, Madhya Pradesh",https://www.sankalpsamiti130.org/annual-report.pdf,https://www.sankalpsamiti130.org|https://example-simulated-source.org/130,
GU/2016/929591,Seva Initiative 131,NITI Aayog (Darpan),Gujarat,Surat,2005,Elderly Care,https://www.sevainitiative131.org,Khushi Bobal,"3.89M (approx., 2020)","FY2020: Total ~ INR 7,470,000; Grants INR 1,800,000; Donations INR 4,970,000; Govt INR 700,000",contact131@seva.initiative.131.org,8445187053,"75, Surat Main Road, Near Market, Gujarat",https://www.sevainitiative131.org/annual-report.pdf,https://www.sevainitiative131.org|https://example-simulated-source.org/131,Sample data - synthetic
591479730,Sankalp Samiti 132,FCRA,West Bengal,Kolkata,1993,Arts & Culture,https://www.sankalpsamiti132.org,Bhamini Thakur,"1.19M (approx., 2023)","FY2020: Total ~ INR 1,270,000; Grants INR 800,000; Donations INR 470,000; Govt INR 0",contact132@sankalp.samiti.132.org,8050641383,"108, Kolkata Main Road, Near School, West Bengal",https://www.sankalpsamiti132.org/annual-report.pdf,https://www.sankalpsamiti132.org|https://example-simulated-source.org/132,Funding estimated for demo
S/18499/NA,Asha Sanstha 133,Society,Nagaland,Kohima,2015,Urban Poor,https://www.ashasanstha133.org,Miraan Iyengar,"2.74M (approx., 2020)","FY2019: Total ~ INR 3,090,000; Grants INR 1,400,000; Donations INR 1,390,000; Govt INR 300,000",contact133@asha.sanstha.133.org,9619906234,"67, Kohima Main Road, Near Market, Nagaland",https://www.ashasanstha133.org/annual-report.pdf,https://www.ashasanstha133.org|https://example-simulated-source.org/133,Sample data - synthetic
TR/2018/62086,Asha Organisation 134,Trust,West Bengal,Asansol,1995,Healthcare,https://www.ashaorganisation134.org,Yuvaan Som,"1.32M (approx., 2024)","FY2019: Total ~ INR 6,030,000; Grants INR 900,000; Donations INR 4,230,000; Govt INR 900,000",contact134@asha.organisation.134.org,8618537474,"219, Asansol Main Road, Near Community Centre, West Bengal",https://www.ashaorganisation134.org/annual-report.pdf,https://www.ashaorganisation134.org|https://example-simulated-source.org/134,Sample data - synthetic
S/52936/AR,Prerna Association 135,Society,Arunachal Pradesh,Itanagar,2019,Women Empowerment,https://www.prernaassociation135.org,Aarush Vala,"8.55Lakh (approx., 2024)","FY2019: Total ~ INR 1,020,000; Grants INR 400,000; Donations INR 620,000; Govt INR 0",contact135@prerna.association.135.org,9044206788,"64, Itanagar Main Road, Near Community Centre, Arunachal Pradesh",https://www.prernaassociation135.org/annual-report.pdf,https://www.prernaassociation135.org|https://example-simulated-source.org/135,Sample data - synthetic
635265416,Dharitri Trust 136,FCRA,West Bengal,Howrah,2019,Mental Health,https://www.dharitritrust136.org,Manikya Rau,"4.25Lakh (approx., 2019)","FY2022: Total ~ INR 4,610,000; Grants INR 1,800,000; Donations INR 2,210,000; Govt INR 600,000",contact136@dharitri.trust.136.org,9410137215,"32, Howrah Main Road, Near Community Centre, West Bengal",https://www.dharitritrust136.org/annual-report.pdf,https://www.dharitritrust136.org|https://example-simulated-source.org/136,
U46042KE2008NPL59459,Samarth Organisation 137,Section-8 Company,Kerala,Thrissur,1995,Women Empowerment,https://www.samarthorganisation137.org,Jivin Madan,"2.35M (approx., 2021)","FY2024: Total ~ INR 2,840,000; Grants INR 400,000; Donations INR 2,140,000; Govt INR 300,000",contact137@samarth.organisation.137.org,7099934768,"123, Thrissur Main Road, Near Community Centre, Kerala",https://www.samarthorganisation137.org/annual-report.pdf,https://www.samarthorganisation137.org|https://example-simulated-source.org/137,Sample data - synthetic
S/63873/GO,Annapurna Association 138,Society,Goa,Vasco da Gama,1991,Elderly Care,https://www.annapurnaassociation138.org,Ritvik Ratti,"2.36M (approx., 2018)","FY2023: Total ~ INR 4,710,000; Grants INR 1,500,000; Donations INR 2,710,000; Govt INR 500,000",contact138@annapurna.association.138.org,9759856420,"82, Vasco da Gama Main Road, Near Railway Station, Goa",https://www.annapurnaassociation138.org/annual-report.pdf,https://www.annapurnaassociation138.org|https://example-simulated-source.org/138,Sample data - synthetic
TR/1993/29758,Nirmaan Sanstha 139,Trust,Gujarat,Ahmedabad,1999,Environment,https://www.nirmaansanstha139.org,Aarav Acharya,"4.72M (approx., 2019)","FY2020: Total ~ INR 4,670,000; Grants INR 1,500,000; Donations INR 2,770,000; Govt INR 400,000",contact139@nirmaan.sanstha.139.org,9652239559,"8, Ahmedabad Main Road, Near Market, Gujarat",https://www.nirmaansanstha139.org/annual-report.pdf,https://www.nirmaansanstha139.org|https://example-simulated-source.org/139,Funding estimated for demo
TR/2023/63650,Prerna Foundation 140,Trust,Maharashtra,Mumbai,1997,Education,https://www.prernafoundation140.org,Kiara Randhawa,"4.41M (approx., 2024)","FY2021: Total ~ INR 6,110,000; Grants INR 1,100,000; Donations INR 4,910,000; Govt INR 100,000",contact140@prerna.foundation.140.org,7593252500,"38, Mumbai Main Road, Near Railway Station, Maharashtra",https://www.prernafoundation140.org/annual-report.pdf,https://www.prernafoundation140.org|https://example-simulated-source.org/140,Funding estimated for demo
U30644HI2023NPL58261,Kshitij Organisation 141,Section-8 Company,Himachal Pradesh,Shimla,2008,Livelihood,https://www.kshitijorganisation141.org,Jayan Bir,"1.07M (approx., 2019)","FY2022: Total ~ INR 5,750,000; Grants INR 0; Donations INR 4,850,000; Govt INR 900,000",contact141@kshitij.organisation.141.org,9752895392,"97, Shimla Main Road, Near Market, Himachal Pradesh",https://www.kshitijorganisation141.org/annual-report.pdf,https://www.kshitijorganisation141.org|https://example-simulated-source.org/141,
GU/2016/992188,Prerna Society 142,NITI Aayog (Darpan),Gujarat,Bhavnagar,2006,Livelihood,https://www.prernasociety142.org,Rasha Chaudhari,"1.76M (approx., 2019)","FY2019: Total ~ INR 2,390,000; Grants INR 200,000; Donations INR 1,790,000; Govt INR 400,000",contact142@prerna.society.142.org,8251355215,"115, Bhavnagar Main Road, Near Community Centre, Gujarat",https://www.prernasociety142.org/annual-report.pdf,https://www.prernasociety142.org|https://example-simulated-source.org/142,
539442753,Uday Initiative 143,FCRA,Maharashtra,Nashik,2008,Urban Poor,https://www.udayinitiative143.org,Aaina Handa,"1.68Lakh (approx., 2020)","FY2019: Total ~ INR 5,770,000; Grants INR 800,000; Donations INR 4,870,000; Govt INR 100,000",contact143@uday.initiative.143.org,8586179327,"19, Nashik Main Road, Near Community Centre, Maharashtra",https://www.udayinitiative143.org/annual-report.pdf,https://www.udayinitiative143.org|https://example-simulated-source.org/143,Simulated beneficiary numbers
S/78860/GU,Pragati Association 144,Society,Gujarat,Rajkot,2002,Women Empowerment,https://www.pragatiassociation144.org,Ojas Bahl,"3.43M (approx., 2023)","FY2021: Total ~ INR 6,190,000; Grants INR 1,700,000; Donations INR 3,690,000; Govt INR 800,000",contact144@pragati.association.144.org,9706296201,"85, Rajkot Main Road, Near Railway Station, Gujarat",https://www.pragatiassociation144.org/annual-report.pdf,https://www.pragatiassociation144.org|https://example-simulated-source.org/144,Simulated beneficiary numbers
S/73045/AN,Annapurna Society 145,Society,Andhra Pradesh,Vijayawada,1991,Healthcare,https://www.annapurnasociety145.org,Arnav Kumer,"1.74M (approx., 2019)","FY2022: Total ~ INR 3,590,000; Grants INR 2,000,000; Donations INR 1,490,000; Govt INR 100,000",contact145@annapurna.society.145.org,8205061497,"52, Vijayawada Main Road, Near Community Centre, Andhra Pradesh",https://www.annapurnasociety145.org/annual-report.pdf,https://www.annapurnasociety145.org|https://example-simulated-source.org/145,
699198776,Nirmaan Trust 146,FCRA,Andhra Pradesh,Tirupati,2006,Urban Poor,https://www.nirmaantrust146.org,Lakshay Mani,"1.9M (approx., 2024)","FY2020: Total ~ INR 3,680,000; Grants INR 800,000; Donations INR 2,880,000; Govt INR 0",contact146@nirmaan.trust.146.org,9625652704,"113, Tirupati Main Road, Near School, Andhra Pradesh",https://www.nirmaantrust146.org/annual-report.pdf,https://www.nirmaantrust146.org|https://example-simulated-source.org/146,
TA/2018/590493,Navjeevan Society 147,NITI Aayog (Darpan),Tamil Nadu,Madurai,1992,Elderly Care,https://www.navjeevansociety147.org,Yuvaan D’Alia,"4.21M (approx., 2022)","FY2024: Total ~ INR 6,590,000; Grants INR 1,600,000; Donations INR 4,090,000; Govt INR 900,000",contact147@navjeevan.society.147.org,7686879374,"21, Madurai Main Road, Near School, Tamil Nadu",https://www.navjeevansociety147.org/annual-report.pdf,https://www.navjeevansociety147.org|https://example-simulated-source.org/147,Sample data - synthetic
TR/1998/6593,Samarth Samiti 148,Trust,Karnataka,Hubli,2010,Women Empowerment,https://www.samarthsamiti148.org,Mohanlal Ray,"2.32M (approx., 2022)","FY2024: Total ~ INR 6,090,000; Grants INR 1,400,000; Donations INR 4,690,000; Govt INR 0",contact148@samarth.samiti.148.org,8163294511,"100, Hubli Main Road, Near School, Karnataka",https://www.samarthsamiti148.org/annual-report.pdf,https://www.samarthsamiti148.org|https://example-simulated-source.org/148,Funding estimated for demo
TR/1996/38498,Asha Trust 149,Trust,Karnataka,Hubli,2015,Women Empowerment,https://www.ashatrust149.org,Misha De,"1.21M (approx., 2022)","FY2019: Total ~ INR 5,980,000; Grants INR 1,900,000; Donations INR 3,480,000; Govt INR 600,000",contact149@asha.trust.149.org,9564679970,"45, Hubli Main Road, Near Market, Karnataka",https://www.ashatrust149.org/annual-report.pdf,https://www.ashatrust149.org|https://example-simulated-source.org/149,Funding estimated for demo
TR/2007/49816,Seva Welfare 150,Trust,Puducherry,Puducherry,2010,Human Rights,https://www.sevawelfare150.org,Krish Bahl,"2.26M (approx., 2023)","FY2019: Total ~ INR 5,390,000; Grants INR 1,300,000; Donations INR 3,090,000; Govt INR 1,000,000",contact150@seva.welfare.150.org,7544471324,"250, Puducherry Main Road, Near School, Puducherry",https://www.sevawelfare150.org/annual-report.pdf,https://www.sevawelfare150.org|https://example-simulated-source.org/150,Sample data - synthetic
941137066,Jeevan Sanstha 151,FCRA,Haryana,Faridabad,2001,Arts & Culture,https://www.jeevansanstha151.org,Amira Magar,"1.62M (approx., 2024)","FY2020: Total ~ INR 4,880,000; Grants INR 600,000; Donations INR 4,280,000; Govt INR 0",contact151@jeevan.sanstha.151.org,8082148628,"226, Faridabad Main Road, Near Community Centre, Haryana",https://www.jeevansanstha151.org/annual-report.pdf,https://www.jeevansanstha151.org|https://example-simulated-source.org/151,
U58280HA2014NPL67207,Samarth Centre 152,Section-8 Company,Haryana,Gurugram,2012,Arts & Culture,https://www.samarthcentre152.org,Aayush Choudhry,"1.37M (approx., 2024)","FY2021: Total ~ INR 4,730,000; Grants INR 800,000; Donations INR 3,830,000; Govt INR 100,000",contact152@samarth.centre.152.org,8103579727,"151, Gurugram Main Road, Near Market, Haryana",https://www.samarthcentre152.org/annual-report.pdf,https://www.samarthcentre152.org|https://example-simulated-source.org/152,
KE/2018/720614,Samarth Samiti 153,NITI Aayog (Darpan),Kerala,Thiruvananthapuram,2004,Women Empowerment,https://www.samarthsamiti153.org,Arhaan Guha,"2.12M (approx., 2022)","FY2021: Total ~ INR 5,540,000; Grants INR 900,000; Donations INR 3,640,000; Govt INR 1,000,000",contact153@samarth.samiti.153.org,7468007229,"206, Thiruvananthapuram Main Road, Near Community Centre, Kerala",https://www.samarthsamiti153.org/annual-report.pdf,https://www.samarthsamiti153.org|https://example-simulated-source.org/153,Funding estimated for demo
U38601PU2014NPL40602,Roshni Centre 154,Section-8 Company,Puducherry,Puducherry,2009,Mental Health,https://www.roshnicentre154.org,Himmat Kalita,"9.07Lakh (approx., 2021)","FY2024: Total ~ INR 2,320,000; Grants INR 200,000; Donations INR 1,720,000; Govt INR 400,000",contact154@roshni.centre.154.org,9896910858,"166, Puducherry Main Road, Near Market, Puducherry",https://www.roshnicentre154.org/annual-report.pdf,https://www.roshnicentre154.org|https://example-simulated-source.org/154,Simulated beneficiary numbers
U77802MI2024NPL32496,Samarth Organisation 155,Section-8 Company,Mizoram,Aizawl,1992,Child Welfare,https://www.samarthorganisation155.org,Myra Salvi,"4.89M (approx., 2023)","FY2021: Total ~ INR 6,270,000; Grants INR 1,800,000; Donations INR 4,170,000; Govt INR 300,000",contact155@samarth.organisation.155.org,7965207446,"104, Aizawl Main Road, Near School, Mizoram",https://www.samarthorganisation155.org/annual-report.pdf,https://www.samarthorganisation155.org|https://example-simulated-source.org/155,Sample data - synthetic
U32280MA2021NPL74170,Umeed Centre 156,Section-8 Company,Manipur,Imphal,2004,Arts & Culture,https://www.umeedcentre156.org,Neelofar Gupta,"2.58M (approx., 2021)","FY2023: Total ~ INR 3,300,000; Grants INR 1,000,000; Donations INR 1,900,000; Govt INR 400,000",contact156@umeed.centre.156.org,7417248251,"57, Imphal Main Road, Near Market, Manipur",https://www.umeedcentre156.org/annual-report.pdf,https://www.umeedcentre156.org|https://example-simulated-source.org/156,Simulated beneficiary numbers
S/26499/HA,Pragati Welfare 157,Society,Haryana,Gurugram,2019,Urban Poor,https://www.pragatiwelfare157.org,Anvi Sagar,"1.2M (approx., 2020)","FY2022: Total ~ INR 4,580,000; Grants INR 500,000; Donations INR 3,980,000; Govt INR 100,000",contact157@pragati.welfare.157.org,9168460223,"88, Gurugram Main Road, Near School, Haryana",https://www.pragatiwelfare157.org/annual-report.pdf,https://www.pragatiwelfare157.org|https://example-simulated-source.org/157,Simulated beneficiary numbers
S/36851/GO,Sankalp Welfare 158,Society,Goa,Panaji,2020,Livelihood,https://www.sankalpwelfare158.org,Anahita Sunder,"3.22M (approx., 2018)","FY2024: Total ~ INR 3,130,000; Grants INR 100,000; Donations INR 2,730,000; Govt INR 300,000",contact158@sankalp.welfare.158.org,7292712966,"104, Panaji Main Road, Near School, Goa",https://www.sankalpwelfare158.org/annual-report.pdf,https://www.sankalpwelfare158.org|https://example-simulated-source.org/158,Simulated beneficiary numbers
UT/2015/667128,Samarth Foundation 159,NITI Aayog (Darpan),Uttar Pradesh,Varanasi,1994,Elderly Care,https://www.samarthfoundation159.org,Jiya Soman,"3.84Lakh (approx., 2020)","FY2023: Total ~ INR 4,030,000; Grants INR 900,000; Donations INR 2,330,000; Govt INR 800,000",contact159@samarth.foundation.159.org,9335421689,"79, Varanasi Main Road, Near Railway Station, Uttar Pradesh",https://www.samarthfoundation159.org/annual-report.pdf,https://www.samarthfoundation159.org|https://example-simulated-source.org/159,Simulated beneficiary numbers
187042316,Dharitri Samiti 160,FCRA,Punjab,Ludhiana,1992,Livelihood,https://www.dharitrisamiti160.org,Vidur Goyal,"3.15M (approx., 2023)","FY2023: Total ~ INR 5,540,000; Grants INR 800,000; Donations INR 3,940,000; Govt INR 800,000",contact160@dharitri.samiti.160.org,8033230982,"32, Ludhiana Main Road, Near Market, Punjab",https://www.dharitrisamiti160.org/annual-report.pdf,https://www.dharitrisamiti160.org|https://example-simulated-source.org/160,
S/91406/UT,Sankalp Foundation 161,Society,Uttarakhand,Dehradun,2009,Disaster Relief,https://www.sankalpfoundation161.org,Shanaya Shetty,"3.53M (approx., 2023)","FY2021: Total ~ INR 4,490,000; Grants INR 300,000; Donations INR 3,390,000; Govt INR 800,000",contact161@sankalp.foundation.161.org,7676184723,"178, Dehradun Main Road, Near Community Centre, Uttarakhand",https://www.sankalpfoundation161.org/annual-report.pdf,https://www.sankalpfoundation161.org|https://example-simulated-source.org/161,Sample data - synthetic
PU/2016/832880,Asha Centre 162,NITI Aayog (Darpan),Punjab,Chandigarh,1992,Disability Services,https://www.ashacentre162.org,Aarush Sinha,"4.6M (approx., 2021)","FY2021: Total ~ INR 4,820,000; Grants INR 600,000; Donations INR 3,520,000; Govt INR 700,000",contact162@asha.centre.162.org,7739348356,"76, Chandigarh Main Road, Near Railway Station, Punjab",https://www.ashacentre162.org/annual-report.pdf,https://www.ashacentre162.org|https://example-simulated-source.org/162,Sample data - synthetic
S/88690/UT,Asha Society 163,Society,Uttar Pradesh,Lucknow,1993,Disaster Relief,https://www.ashasociety163.org,Zeeshan Sangha,"8.37Lakh (approx., 2024)","FY2021: Total ~ INR 4,970,000; Grants INR 500,000; Donations INR 4,470,000; Govt INR 0",contact163@asha.society.163.org,8218114374,"68, Lucknow Main Road, Near School, Uttar Pradesh",https://www.ashasociety163.org/annual-report.pdf,https://www.ashasociety163.org|https://example-simulated-source.org/163,Simulated beneficiary numbers
S/2267/SI,Asha Foundation 164,Society,Sikkim,Gangtok,2015,Rural Development,https://www.ashafoundation164.org,Alisha Balan,"3.36M (approx., 2021)","FY2024: Total ~ INR 5,670,000; Grants INR 800,000; Donations INR 4,270,000; Govt INR 600,000",contact164@asha.foundation.164.org,7255794155,"47, Gangtok Main Road, Near Community Centre, Sikkim",https://www.ashafoundation164.org/annual-report.pdf,https://www.ashafoundation164.org|https://example-simulated-source.org/164,Funding estimated for demo
TR/1993/21892,Asha Organisation 165,Trust,Sikkim,Gangtok,1998,Disaster Relief,https://www.ashaorganisation165.org,Devansh Das,"4.05M (approx., 2021)","FY2022: Total ~ INR 5,440,000; Grants INR 300,000; Donations INR 4,540,000; Govt INR 600,000",contact165@asha.organisation.165.org,7697972965,"157, Gangtok Main Road, Near Community Centre, Sikkim",https://www.ashaorganisation165.org/annual-report.pdf,https://www.ashaorganisation165.org|https://example-simulated-source.org/165,
U85582TA2023NPL75057,Sankalp Sanstha 166,Section-8 Company,Tamil Nadu,Madurai,1999,Disaster Relief,https://www.sankalpsanstha166.org,Trisha Lall,"4.68M (approx., 2022)","FY2020: Total ~ INR 1,150,000; Grants INR 100,000; Donations INR 50,000; Govt INR 1,000,000",contact166@sankalp.sanstha.166.org,7588916375,"170, Madurai Main Road, Near School, Tamil Nadu",https://www.sankalpsanstha166.org/annual-report.pdf,https://www.sankalpsanstha166.org|https://example-simulated-source.org/166,Funding estimated for demo
TR/2010/32574,Pragati Welfare 167,Trust,Mizoram,Aizawl,2018,Mental Health,https://www.pragatiwelfare167.org,Bhavin Hari,"7.38Lakh (approx., 2024)","FY2019: Total ~ INR 4,280,000; Grants INR 1,500,000; Donations INR 2,280,000; Govt INR 500,000",contact167@pragati.welfare.167.org,8408386631,"118, Aizawl Main Road, Near School, Mizoram",https://www.pragatiwelfare167.org/annual-report.pdf,https://www.pragatiwelfare167.org|https://example-simulated-source.org/167,Funding estimated for demo
608214865,Navjeevan Foundation 168,FCRA,Tripura,Agartala,2013,Healthcare,https://www.navjeevanfoundation168.org,Bhamini Apte,"4.55Lakh (approx., 2024)","FY2021: Total ~ INR 5,720,000; Grants INR 700,000; Donations INR 4,320,000; Govt INR 700,000",contact168@navjeevan.foundation.168.org,9019948837,"244, Agartala Main Road, Near Market, Tripura",https://www.navjeevanfoundation168.org/annual-report.pdf,https://www.navjeevanfoundation168.org|https://example-simulated-source.org/168,Funding estimated for demo
825313588,Asha Trust 169,FCRA,Nagaland,Kohima,2021,Human Rights,https://www.ashatrust169.org,Taimur Vig,"1.18M (approx., 2024)","FY2023: Total ~ INR 2,240,000; Grants INR 1,300,000; Donations INR 540,000; Govt INR 400,000",contact169@asha.trust.169.org,9305548851,"12, Kohima Main Road, Near Railway Station, Nagaland",https://www.ashatrust169.org/annual-report.pdf,https://www.ashatrust169.org|https://example-simulated-source.org/169,Sample data - synthetic
895358270,Samarth Welfare 170,FCRA,Rajasthan,Jaipur,2021,Arts & Culture,https://www.samarthwelfare170.org,Anvi Varty,"36436 (approx., 2022)","FY2023: Total ~ INR 3,530,000; Grants INR 100,000; Donations INR 2,830,000; Govt INR 600,000",contact170@samarth.welfare.170.org,7516091779,"245, Jaipur Main Road, Near Railway Station, Rajasthan",https://www.samarthwelfare170.org/annual-report.pdf,https://www.samarthwelfare170.org|https://example-simulated-source.org/170,Funding estimated for demo
